Sample name,treatment,experiment
475_B4_EMT_R1,Control,Batch4
476_B4_p300_C20_R1,p300,Batch4
477_B4_p300_C19_R1,p300,Batch4
478_B4_p300_C19_R2,p300,Batch4
479_B4_p300_C19_R3,p300,Batch4
480_B4_p300_C12_R1,p300,Batch4
481_B4_p300_C12_R2,p300,Batch4
482_B4_p300_C12_R3,p300,Batch4
483_B4_p300_C20_R2,p300,Batch4
565_2,Control,Batch8-2
566_2,Control,Batch8-2
567_2,p300,Batch8-2
568_2,p300,Batch8-2
569_2,p300,Batch8-2
570_2,p300,Batch8-2
571_2,p300,Batch8-2
572_2,p300,Batch8-2
573_2,p300,Batch8-2
574_2,p300,Batch8-2
575_2,p300,Batch8-2
2_AV2,Control,SS0209
4_AV2,Control,SS0209
5_AV1,Control,SS0209
6_AV1,Control,SS0209
13_p300_C20_R1,p300,SS0209
14_p300_C20_R2,p300,SS0209
15_P300_C12_R1,p300,SS0209
16_p300_C12_R2,p300,SS0209
C_AV1,Control,SS2608
D_AV2,Control,SS2608
E_PV1,p300,SS2608
F_PV2,p300,SS2608
